PSBBEAM/B#value,PSBBEAM/B#value
X,Y
129.6,799.035
129.7,803.472
129.8,807.915
129.9,812.363
130.0,816.816
130.1,821.274
130.2,825.737
130.3,830.204
130.4,834.676
130.5,839.153
130.6,843.635
130.7,848.121
130.8,852.612
130.9,857.107
131.0,861.606
131.1,866.11
131.2,870.618
131.3,875.13
131.4,879.646
131.5,884.166
131.6,888.69
131.7,893.218
131.8,897.75
131.9,902.286
132.0,906.825
132.1,911.368
132.2,915.915
132.3,920.465
132.4,925.018
132.5,929.575
132.6,934.135
132.7,938.699
132.8,943.265
132.9,947.835
133.0,952.407
133.1,956.983
133.2,961.562
133.3,966.143
133.4,970.727
133.5,975.314
133.6,979.904
133.7,984.496
133.8,989.09
133.9,993.687
134.0,998.287
134.1,1002.888
134.2,1007.492
134.3,1012.098
134.4,1016.707
134.5,1021.317
134.6,1025.929
134.7,1030.543
134.8,1035.16
134.9,1039.777
135.0,1044.397
135.1,1049.018
135.2,1053.641
135.3,1058.265
135.4,1062.891
135.5,1067.518
135.6,1072.146
135.7,1076.776
135.8,1081.407
135.9,1086.039
136.0,1090.672
136.1,1095.306
136.2,1099.941
136.3,1104.577
136.4,1109.214
136.5,1113.851
136.6,1118.489
136.7,1123.128
136.8,1127.767
136.9,1132.406
137.0,1137.046
137.1,1141.687
137.2,1146.327
137.3,1150.968
137.4,1155.609
137.5,1160.25
137.6,1164.891
137.7,1169.532
137.8,1174.173
137.9,1178.813
138.0,1183.454
138.1,1188.094
138.2,1192.733
138.3,1197.372
138.4,1202.011
138.5,1206.649
138.6,1211.286
138.7,1215.923
138.8,1220.559
138.9,1225.194
139.0,1229.828
139.1,1234.461
139.2,1239.093
139.3,1243.724
139.4,1248.354
139.5,1252.982
139.6,1257.609
139.7,1262.235
139.8,1266.859
139.9,1271.482
140.0,1276.103
140.1,1280.723
140.2,1285.34
140.3,1289.957
140.4,1294.571
140.5,1299.183
140.6,1303.793
140.7,1308.402
140.8,1313.008
140.9,1317.612
141.0,1322.213
141.1,1326.813
141.2,1331.41
141.3,1336.004
141.4,1340.596
141.5,1345.186
141.6,1349.773
141.7,1354.357
141.8,1358.938
141.9,1363.517
142.0,1368.093
142.1,1372.665
142.2,1377.235
142.3,1381.801
142.4,1386.365
142.5,1390.925
142.6,1395.482
142.7,1400.035
142.8,1404.585
142.9,1409.132
143.0,1413.675
143.1,1418.214
143.2,1422.75
143.3,1427.282
143.4,1431.81
143.5,1436.334
143.6,1440.854
143.7,1445.37
143.8,1449.882
143.9,1454.39
144.0,1458.894
144.1,1463.393
144.2,1467.888
144.3,1472.379
144.4,1476.865
144.5,1481.347
144.6,1485.824
144.7,1490.296
144.8,1494.763
144.9,1499.226
145.0,1503.684
145.1,1508.137
145.2,1512.585
145.3,1517.028
145.4,1521.465
145.5,1525.898
145.6,1530.325
145.7,1534.746
145.8,1539.163
145.9,1543.574
146.0,1547.979
146.1,1552.379
146.2,1556.773
146.3,1561.161
146.4,1565.544
146.5,1569.92
146.6,1574.291
146.7,1578.656
146.8,1583.014
146.9,1587.367
147.0,1591.713
147.1,1596.053
147.2,1600.387
147.3,1604.714
147.4,1609.035
147.5,1613.349
147.6,1617.657
147.7,1621.958
147.8,1626.252
147.9,1630.539
148.0,1634.82
148.1,1639.094
148.2,1643.36
148.3,1647.62
148.4,1651.873
148.5,1656.118
148.6,1660.356
148.7,1664.587
148.8,1668.81
148.9,1673.026
149.0,1677.234
149.1,1681.435
149.2,1685.628
149.3,1689.813
149.4,1693.991
149.5,1698.16
149.6,1702.322
149.7,1706.476
149.8,1710.622
149.9,1714.759
150.0,1718.889
150.1,1723.01
150.2,1727.123
150.3,1731.227
150.4,1735.324
150.5,1739.411
150.6,1743.49
150.7,1747.56
150.8,1751.622
150.9,1755.675
151.0,1759.719
151.1,1763.754
151.2,1767.78
151.3,1771.797
151.4,1775.805
151.5,1779.804
151.6,1783.793
151.7,1787.773
151.8,1791.744
151.9,1795.706
152.0,1799.657
152.1,1803.6
152.2,1807.532
152.3,1811.455
152.4,1815.369
152.5,1819.272
152.6,1823.165
152.7,1827.049
152.8,1830.922
152.9,1834.786
153.0,1838.639
153.1,1842.482
153.2,1846.315
153.3,1850.137
153.4,1853.949
153.5,1857.75
153.6,1861.541
153.7,1865.321
153.8,1869.091
153.9,1872.85
154.0,1876.598
154.1,1880.335
154.2,1884.061
154.3,1887.776
154.4,1891.48
154.5,1895.173
154.6,1898.854
154.7,1902.525
154.8,1906.184
154.9,1909.831
155.0,1913.467
155.1,1917.092
155.2,1920.705
155.3,1924.306
155.4,1927.895
155.5,1931.473
155.6,1935.039
155.7,1938.592
155.8,1942.134
155.9,1945.664
156.0,1949.181
156.1,1952.687
156.2,1956.18
156.3,1959.661
156.4,1963.129
156.5,1966.585
156.6,1970.028
156.7,1973.459
156.8,1976.877
156.9,1980.282
157.0,1983.675
157.1,1987.054
157.2,1990.421
157.3,1993.775
157.4,1997.115
157.5,2000.443
157.6,2003.757
157.7,2007.058
157.8,2010.346
157.9,2013.62
158.0,2016.881
158.1,2020.128
158.2,2023.362
158.3,2026.582
158.4,2029.788
158.5,2032.981
158.6,2036.159
158.7,2039.324
158.8,2042.475
158.9,2045.612
159.0,2048.734
159.1,2051.842
159.2,2054.936
159.3,2058.016
159.4,2061.082
159.5,2064.133
159.6,2067.169
159.7,2070.191
159.8,2073.198
159.9,2076.19
160.0,2079.168
160.1,2082.131
160.2,2085.079
160.3,2088.012
160.4,2090.929
160.5,2093.832
160.6,2096.72
160.7,2099.592
160.8,2102.449
160.9,2105.291
161.0,2108.117
161.1,2110.928
161.2,2113.723
161.3,2116.502
161.4,2119.266
161.5,2122.014
161.6,2124.746
161.7,2127.462
161.8,2130.162
161.9,2132.846
162.0,2135.515
162.1,2138.166
162.2,2140.802
162.3,2143.422
162.4,2146.025
162.5,2148.611
162.6,2151.181
162.7,2153.735
162.8,2156.272
162.9,2158.792
163.0,2161.295
163.1,2163.782
163.2,2166.251
163.3,2168.704
163.4,2171.14
163.5,2173.558
163.6,2175.96
163.7,2178.344
163.8,2180.711
163.9,2183.06
164.0,2185.393
164.1,2187.707
164.2,2190.004
164.3,2192.284
164.4,2194.545
164.5,2196.79
164.6,2199.016
164.7,2201.224
164.8,2203.414
164.9,2205.587
165.0,2207.741
165.1,2209.877
165.2,2211.995
165.3,2214.094
165.4,2216.176
165.5,2218.238
165.6,2220.283
165.7,2222.309
165.8,2224.316
165.9,2226.304
166.0,2228.274
166.1,2230.225
166.2,2232.157
166.3,2234.07
166.4,2235.964
166.5,2237.839
166.6,2239.695
166.7,2241.532
166.8,2243.349
166.9,2245.147
167.0,2246.926
167.1,2248.685
167.2,2250.425
167.3,2252.145
167.4,2253.845
167.5,2255.526
167.6,2257.187
167.7,2258.828
167.8,2260.449
167.9,2262.05
168.0,2263.631
168.1,2265.192
168.2,2266.732
168.3,2268.253
168.4,2269.753
168.5,2271.233
168.6,2272.692
168.7,2274.13
168.8,2275.548
168.9,2276.946
169.0,2278.323
169.1,2279.678
169.2,2281.014
169.3,2282.328
169.4,2283.621
169.5,2284.893
169.6,2286.144
169.7,2287.374
169.8,2288.582
169.9,2289.769
170.0,2290.935
170.1,2292.079
170.2,2293.202
170.3,2294.304
170.4,2295.383
170.5,2296.441
170.6,2297.477
170.7,2298.491
170.8,2299.484
170.9,2300.454
171.0,2301.402
171.1,2302.329
171.2,2303.233
171.3,2304.114
171.4,2304.974
171.5,2305.811
171.6,2306.626
171.7,2307.418
171.8,2308.187
171.9,2308.934
172.0,2309.659
172.1,2310.36
172.2,2311.039
172.3,2311.694
172.4,2312.327
172.5,2312.937
172.6,2313.524
172.7,2314.087
172.8,2314.627
172.9,2315.144
173.0,2315.638
173.1,2316.108
173.2,2316.554
173.3,2316.977
173.4,2317.377
173.5,2317.753
173.6,2318.104
173.7,2318.433
173.8,2318.737
173.9,2319.017
174.0,2319.273
174.1,2319.506
174.2,2319.714
174.3,2319.897
174.4,2320.057
174.5,2320.192
174.6,2320.303
174.7,2320.389
174.8,2320.451
174.9,2320.488
175.0,2320.5
176.0,2320.5
177.0,2320.5
178.0,2320.5
179.0,2320.5
180.0,2320.5
181.0,2320.5
182.0,2320.5
183.0,2320.5
184.0,2320.5
185.0,2320.5
186.0,2320.5
187.0,2320.5
188.0,2320.5
189.0,2320.5
190.0,2320.5
191.0,2320.5
