BA1.FGVRFH2/Settings#amplitudes,BA1.FGVRFH2/Settings#amplitudes
X,Y
0.0,0.0
260.0,0.0
270.0,2692.7940977914
275.0,2692.7940977914
275.403238695993,2691.4491913522993
275.50404836999,2698.124925122943
275.604858043864,2731.0087269646788
276.000026206459,4556.494362912859
277.000841355685,5000.605185862952
278.000983018751,5349.222480460577
279.001037560247,5636.308967154367
280.001641295819,5871.745088808877
281.002476278206,6061.982142857143
282.003278663699,6208.406878566743
283.003838761851,6319.771584769659
284.004001247781,6361.954327051982
305.012127020311,6128.359362683977
330.013963828779,5891.480264323099
360.015894784297,5652.654946395331
390.016774995787,5456.970932047708
450.0,5456.970932047708
600.0,5400.0
720.0,4500.0
760.0,1350.0
820.0,1350.0
